58789 | 23870 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
58792 | 23870 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 30 | 100 | 10 | 10 | 95 | 105 | 3000 | 7 | 8 | 9 | 10 | 1 | 4
58794 | 23870 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 30 | 100 | 10 | 10 | 95 | 105 | 3000 | 7 | 8 | 9 | 10 | 1 | 4
58796 | 23870 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 30 | 100 | 10 | 10 | 95 | 105 | 3000 | 7 | 8 | 9 | 10 | 1 | 4
58941 | 23870 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
58942 | 23870 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 30 | 100 | 10 | 10 | 95 | 105 | 3000 | 7 | 8 | 9 | 10 | 1 | 4
58944 | 23870 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 30 | 100 | 10 | 10 | 95 | 105 | 3000 | 7 | 8 | 9 | 10 | 1 | 4
58945 | 23870 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 30 | 100 | 10 | 10 | 95 | 105 | 3000 | 7 | 8 | 9 | 10 | 1 | 4
58947 | 23870 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 30 | 100 | 10 | 10 | 95 | 105 | 3000 | 7 | 8 | 9 | 10 | 1 | 4
58949 | 23870 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 30 | 100 | 10 | 10 | 95 | 105 | 3000 | 7 | 8 | 9 | 10 | 1 | 4
