15880	23872	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15882	23872	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15883	23872	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15884	23872	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15886	23872	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15887	23872	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15888	23872	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15890	23872	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15891	23872	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15892	23872	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15893	23872	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15894	23872	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15895	23872	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
15897	23872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	30	100	10	10	95	105	3000	7	8	9	10	1	4
